Date,Month+Year,Season,ID,Concen,Num.Obs,Alarm,WE
1/4/2019,19-Jan,aWet Season,POLO,8.396946565,1,0,0
2/3/2018,18-Feb,aWet Season,GP,20.30368764,3,0,0
6/2/2018,18-Jun,Dry Season,POLO,9.454545455,2,0,0
3/10/2018,18-Mar,aWet Season,PNN3,21.93442623,1,0,0
6/8/2018,18-Jun,Dry Season,FRANK,19.25597874,1,2,0
6/8/2018,18-Jun,Dry Season,LB,18.95470383,2,2,0
6/9/2018,18-Jun,Dry Season,GP,21.41304348,2,2,0
6/9/2018,18-Jun,Dry Season,LB,28.62542955,2,2,0
7/21/2018,18-Jul,Dry Season,BO,30.95940959,1,2,0
1/4/2019,19-Jan,aWet Season,MANGLE,13.28467153,1,0,0
1/4/2019,19-Jan,aWet Season,ZELLY,26.42166344,1,0,0
1/4/2019,19-Jan,aWet Season,BW,13.38728324,1,0,0
1/12/2019,19-Jan,aWet Season,LB,13.60824742,3,2,0
2/3/2019,19-Feb,aWet Season,LRL,14.2312009,1,3,0
2/9/2019,19-Feb,aWet Season,LB,21.05714286,1,2,0
4/4/2019,19-Apr,Dry Season,BO,10.65743945,4,2,0
4/4/2019,19-Apr,Dry Season,MANGLE,7.390029326,4,2,0
4/5/2019,19-Apr,Dry Season,FRANK,23.76278119,3,8,1
4/5/2019,19-Apr,Dry Season,FLICK,29,3,8,1
4/5/2019,19-Apr,Dry Season,MANGLE,6.711864407,3,8,1
4/5/2019,19-Apr,Dry Season,BO,17.55760369,3,8,1
4/11/2019,19-Apr,Dry Season,LGREEN,18.43220339,4,3,1
5/2/2019,19-May,Dry Season,MANGLE,28.84667571,3,1,0
5/2/2019,19-May,Dry Season,CHOPPA,22.94036061,3,1,0
5/3/2019,19-May,Dry Season,BW,34.85148515,3,3,1
1/18/2019,19-Jan,aWet Season,CHOPPA,30.15037594,1,1,1
1/18/2019,19-Jan,aWet Season,POLO,17.78210117,3,1,1
1/24/2019,19-Jan,aWet Season,CHOPPA,21.95783133,3,2,0
1/24/2019,19-Jan,aWet Season,MANGLE,13.56200528,3,2,0
1/25/2018,18-Jan,aWet Season,BW,23.27160494,1,0,0
1/25/2018,18-Jan,aWet Season,ZELLY,21.06280193,1,0,0
1/25/2019,19-Jan,aWet Season,FRANK,14.24694708,4,1,0
1/25/2019,19-Jan,aWet Season,BW,37.96661608,4,1,0
1/25/2019,19-Jan,aWet Season,POLO,10.78459344,4,1,0
1/27/2018,18-Jan,aWet Season,LRL,29.21465969,2,3,0
1/31/2019,19-Jan,aWet Season,LGREEN,25,1,2,0
1/31/2019,19-Jan,aWet Season,FRANK,23.00330033,1,2,0
1/31/2019,19-Jan,aWet Season,ZELLY,12.02346041,1,2,0
1/31/2019,19-Jan,aWet Season,LRL,15.52197802,1,2,0
2/14/2019,19-Feb,aWet Season,CHOPPA,21.78674352,4,2,0
2/14/2019,19-Feb,aWet Season,ZELLY,8.487394958,4,2,0
3/14/2019,19-Mar,aWet Season,FRANK,19.25373134,2,2,0
3/14/2019,19-Mar,aWet Season,ZELLY,11.88583078,2,2,0
3/14/2019,19-Mar,aWet Season,LRL,23.1956912,2,2,0
3/14/2019,19-Mar,aWet Season,POLO,24.96788009,2,2,0
3/14/2019,19-Mar,aWet Season,LGREEN,10.57553957,2,2,0
3/21/2019,19-Mar,aWet Season,LGREEN,13.35701599,4,5,1
3/21/2019,19-Mar,aWet Season,MANGLE,14.9202454,4,5,1
3/21/2019,19-Mar,aWet Season,LB,15.46061415,4,5,1
